规则代码,平均耗时,最小耗时,最大耗时
,,,
T003,8,0,46
Z009,2,0,103
Z012,2,0,103
Z010,2,0,93
B013,2,0,30
Z011,1,0,70
Z008,1,0,70
T002,1,0,50
T004,1,0,30
B005,1,0,20
B014,1,0,13
B004,1,0,6
MD01,1,0,3
B001,0,0,10
B002,0,0,3
B003,0,0,3
Z001,0,0,3
Z002,0,0,3
Z003,0,0,3
Z004,0,0,3
Z005,0,0,3
Z006,0,0,3
Z007,0,0,3
B006,0,0,3
B007,0,0,3
B008,0,0,3
B009,0,0,3
B010,0,0,3
B011,0,0,3
B012,0,0,3
G003,0,0,3
G004,0,0,3
H001,0,0,3
H002,0,0,3
H003,0,0,3
H004,0,0,3
M001,0,0,3
M002,0,0,3
M003,0,0,3
Z013,0,0,3
Z014,0,0,3
Z015,0,0,3
Z016,0,0,3
Z017,0,0,3
Z018,0,0,3
Z019,0,0,3
B015,0,0,3
B016,0,0,3
B017,0,0,3
B018,0,0,3
B019,0,0,3
B020,0,0,3
B021,0,0,3
C008,0,0,3
D001,0,0,3
D002,0,0,3
D003,0,0,3
D004,0,0,3
D005,0,0,3
D006,0,0,3
D007,0,0,3
D008,0,0,3
D009,0,0,3
D010,0,0,3
D011,0,0,3
D012,0,0,3
D013,0,0,3
D014,0,0,3
D015,0,0,3
D016,0,0,3
D017,0,0,3
E001,0,0,3
E002,0,0,3
E003,0,0,3
E004,0,0,3
F001,0,0,3
F002,0,0,3
F003,0,0,3
F004,0,0,3
F005,0,0,3
F006,0,0,3
F007,0,0,3
F008,0,0,3
F009,0,0,3
G001,0,0,3
A001,0,0,3
A002,0,0,3
A003,0,0,3
A004,0,0,3
A005,0,0,3
A006,0,0,3
A007,0,0,3
A008,0,0,3
A009,0,0,3
A010,0,0,3
A011,0,0,3
A012,0,0,3
A013,0,0,3
A014,0,0,3
A015,0,0,3
A016,0,0,3
A017,0,0,3
A018,0,0,3
A019,0,0,3
A020,0,0,3
A021,0,0,3
A022,0,0,3
A023,0,0,3
A024,0,0,3
A025,0,0,3
A026,0,0,3
A027,0,0,3
A028,0,0,3
A029,0,0,3
A030,0,0,3
A031,0,0,3
A032,0,0,3
A033,0,0,3
A034,0,0,3
A035,0,0,3
A036,0,0,3
A037,0,0,3
A038,0,0,3
G002,0,0,0
